Calendar_Date,ID,Track_Direction,Line,Branch,Track_Name,Location_Description,Loc_GTFS_Stop_ID,Location_Type,Direction_Sort,Restriction_Status,Date_Restriction_Reported,Date_Restriction_Cleared,Restriction_Speed_MPH,Restriction_Reason,Restriction_Distance_Feet,Restriction_Distance_Miles,Line_Restricted_Track_Pct,Line_Total_Track_Miles,Systemwide_Restricted_Track_Pct,Systemwide_Total_Track_Miles,SR_Restriction_Distance_Span,Restriction_Path,Restriction_Days_Active_On_Calendar_Day,Restriction_Days_to_Clear,Daily_Restriction_Count_Start,Month_Restriction_Count_Start,Restriction_Count_New,Restriction_Count_Cleared,Month_Restriction_Count_End,Daily_Restriction_Count_End
2023-02-22,381513,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB Blandford St Station,place-bland,Station,GBEB-31,Active Restriction,2022-02-22,,10 mph,Track,206.00000000000023,0.03901515151515156,7.226366274338128e-4,53.99,2.859929007121504e-4,136.42,Multi-Segment,Midpoint,365,,0,0,0,0,0,0
2023-02-22,381513,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB Blandford St to Kenmore,place-bland | place-kencl,Between Stations,GBEB-32,Active Restriction,2022-02-22,,10 mph,Track,219.99999999999994,0.04166666666666666,7.717478545409642e-4,53.99,3.0542931144016025e-4,136.42,Multi-Segment,End,365,,0,0,0,0,0,0
2023-02-22,325637,WB,Green Line,Green Line - C,GL Kenmore-Cleveland Cir. WB,WB Englewood Ave to Cleveland Cir.,place-engav | place-clmnl,Between Stations,GCWB-26,Active Restriction,2021-09-09,,10 mph,Track,137.00000000000045,0.025946969696969784,4.8058843669142033e-4,53.99,1.9019916212410047e-4,136.42,Single Segment,Start|End,531,,1,0,0,0,0,1
2023-02-22,230851,WB,Green Line,Green Line - D,GL Kenmore-Riverside WB,WB Kenmore to Fenway,place-kencl | place-fenwy,Between Stations,GDWB-01,Active Restriction,2020-12-24,,3 mph,Power,100,0.01893939393939394,3.50794479336802e-4,53.99,1.3883150520007287e-4,136.42,Single Segment,Start|End,790,,1,0,0,0,0,1
2023-02-22,325606,EB,Green Line,Green Line - E,GL Copley-Heath St. EB,EB Museum of Fine Arts to Northeastern,place-mfa | place-nuniv,Between Stations,GEEB-08,Active Restriction,2021-09-09,,10 mph,Track,500,0.0946969696969697,0.0017539723966840098,53.99,6.941575260003644e-4,136.42,Single Segment,Start|End,531,,1,0,0,0,0,1
2023-02-22,325612,WB,Green Line,Green Line - E,GL Copley-Heath St. WB,WB Northeastern to Museum of Fine Arts,place-nuniv | place-mfa,Between Stations,GEWB-07,Active Restriction,2021-09-09,,10 mph,Track,500,0.0946969696969697,0.0017539723966840098,53.99,6.941575260003644e-4,136.42,Single Segment,Start|End,531,,1,0,0,0,0,1
2023-02-22,406240,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Central Ave to Valley Road,place-cenav | place-valrd,Between Stations,MLIB-06,Active Restriction,2022-04-27,,10 mph,Track,600,0.11363636363636363,0.0023968859657532934,47.41,8.329890312004372e-4,136.42,Single Segment,Start|End,301,,1,0,0,0,0,1
2023-02-22,456398,OB,Red Line,Red Line - Mattapan,Mattapan Line NB,OB Mattapan to Capen St.,place-matt | place-capst,Between Stations,MLOB-02,Active Restriction,2022-08-12,,10 mph,Track,575,0.10890151515151515,0.0022970157171802396,47.41,7.982811549004191e-4,136.42,Single Segment,Start|End,194,,1,0,0,0,0,1
2023-02-22,406234,OB,Red Line,Red Line - Mattapan,Mattapan Line NB,OB Capen St to Valley Rd,place-capst | place-valrd,Between Stations,MLOB-04,Active Restriction,2022-04-27,,10 mph,Track,798.9999999999995,0.1513257575757575,0.003191853144394801,47.41,0.0011092637265485818,136.42,Multi-Segment,Start,301,,1,0,0,0,0,1
2023-02-22,406234,OB,Red Line,Red Line - Mattapan,Mattapan Line NB,OB Valley Road Station,place-valrd,Station,MLOB-05,Active Restriction,2022-04-27,,10 mph,Track,101.00000000000051,0.019128787878787974,4.0347580423513973e-4,47.41,1.402198202520743e-4,136.42,Multi-Segment,Midpoint,301,,0,0,0,0,0,0
2023-02-22,406234,OB,Red Line,Red Line - Mattapan,Mattapan Line NB,OB Valley Rd. to Central Ave.,place-valrd | place-cenav,Between Stations,MLOB-06,Active Restriction,2022-04-27,,10 mph,Track,700,0.13257575757575757,0.002796366960045509,47.41,9.7182053640051e-4,136.42,Multi-Segment,End,301,,0,0,0,0,0,0
2023-02-22,504693,NB,Orange Line,Orange Line,OL NB,NB Jackson Sq. Station,place-jaksn,Station,OLNB-07,Active Restriction,2023-01-05,,18 mph,Vehicle,400.9999999999991,0.07594696969696953,0.003369430776263067,22.54,5.56714335852291e-4,136.42,Multi-Segment,Start,48,,1,0,0,0,0,1
2023-02-22,504693,NB,Orange Line,Orange Line,OL NB,NB Jackson Sq. to Roxbury Cross.,place-jaksn | place-rcmnl,Between Stations,OLNB-08,Active Restriction,2023-01-05,,18 mph,Vehicle,59.00000000000034,0.01117424242424249,4.957516603479365e-4,22.54,8.191058806804347e-5,136.42,Multi-Segment,End,48,,0,0,0,0,0,0
2023-02-22,504694,NB,Orange Line,Orange Line,OL NB,NB Mass Ave to Back Bay,place-masta | place-bbsta,Between Stations,OLNB-14,Active Restriction,2023-01-05,,18 mph,Vehicle,35.000000000002274,0.006628787878788309,2.940899680030306e-4,22.54,4.8591026820028657e-5,136.42,Multi-Segment,Start,48,,1,0,0,0,0,1
2023-02-22,504694,NB,Orange Line,Orange Line,OL NB,NB Back Bay Station,place-bbsta,Station,OLNB-15,Active Restriction,2023-01-05,,18 mph,Vehicle,400.9999999999991,0.07594696969696953,0.003369430776263067,22.54,5.56714335852291e-4,136.42,Multi-Segment,Midpoint,48,,0,0,0,0,0,0
2023-02-22,471451,NB,Orange Line,Orange Line,OL NB,NB Back Bay to Tufts Med.,place-bbsta | place-tumnl,Between Stations,OLNB-16,Active Restriction,2022-09-23,,18 mph,Track,1100,0.20833333333333334,0.009242827565808933,22.54,0.0015271465572008016,136.42,Single Segment,Start|End,152,,1,0,0,0,0,1
2023-02-22,504694,NB,Orange Line,Orange Line,OL NB,NB Back Bay to Tufts Med.,place-bbsta | place-tumnl,Between Stations,OLNB-16,Active Restriction,2023-01-05,,18 mph,Vehicle,152.00000000000102,0.02878787878787898,0.0012771907181845156,22.54,2.1102388790411218e-4,136.42,Multi-Segment,End,48,,0,0,0,0,0,0
2023-02-22,512251,NB,Orange Line,Orange Line,OL NB,NB Back Bay to Tufts Med.,place-bbsta | place-tumnl,Between Stations,OLNB-16,Active Restriction,2023-01-29,,10 mph,Track,1000,0.1893939393939394,0.008402570514371757,22.54,0.0013883150520007288,136.42,Single Segment,Start|End,24,,1,0,0,0,0,1
2023-02-22,498186,NB,Orange Line,Orange Line,OL NB,NB Tufts Med. to Chinatown,place-tumnl | place-chncl,Between Stations,OLNB-18,Active Restriction,2022-12-12,,10 mph,Track,600,0.11363636363636363,0.005041542308623054,22.54,8.329890312004372e-4,136.42,Single Segment,Start|End,72,,1,0,0,0,0,1
2023-02-22,504695,NB,Orange Line,Orange Line,OL NB,NB Wellington to Malden,place-welln | place-mlmnl,Between Stations,OLNB-36,Active Restriction,2023-01-05,,25 mph,Vehicle,640.9999999999968,0.12140151515151455,0.00538604769971227,22.54,8.899099483324627e-4,136.42,Single Segment,Start|End,48,,1,0,0,0,0,1
2023-02-22,504696,NB,Orange Line,Orange Line,OL NB,NB Wellington to Malden,place-welln | place-mlmnl,Between Stations,OLNB-36,Active Restriction,2023-01-05,,18 mph,Vehicle,94.00000000000546,0.017803030303031337,7.89841628350991e-4,22.54,1.3050161488807607e-4,136.42,Multi-Segment,Start,48,,1,0,0,0,0,1
2023-02-22,504696,NB,Orange Line,Orange Line,OL NB,NB Malden Station,place-mlmnl,Station,OLNB-37,Active Restriction,2023-01-05,,18 mph,Vehicle,439.9999999999977,0.0833333333333329,0.0036971310263235538,22.54,6.108586228803175e-4,136.42,Multi-Segment,End,48,,0,0,0,0,0,0
2023-02-22,518715,NB,Orange Line,Orange Line,OL NB,NB Malden to Oak Grove,place-mlmnl | place-ogmnl,Between Stations,OLNB-38,Active Restriction,2023-02-21,,10 mph,Track,400,0.07575757575757576,0.003361028205748703,22.54,5.553260208002915e-4,136.42,Single Segment,Start|End,1,,1,0,0,0,0,1
2023-02-22,504675,SB,Orange Line,Orange Line,OL SB,SB Malden to Wellington,place-mlmnl | place-welln,Between Stations,OLSB-04,Active Restriction,2023-01-05,,25 mph,Vehicle,619.9999999999989,0.11742424242424221,0.00520959371891048,22.54,8.607553322404503e-4,136.42,Single Segment,Start|End,48,,1,0,0,0,0,1
2023-02-22,504676,SB,Orange Line,Orange Line,OL SB,SB Malden to Wellington,place-mlmnl | place-welln,Between Stations,OLSB-04,Active Restriction,2023-01-05,,18 mph,Vehicle,152.99999999999727,0.02897727272727221,0.0012855932886988559,22.54,2.124122029561077e-4,136.42,Multi-Segment,Start,48,,1,0,0,0,0,1
2023-02-22,504676,SB,Orange Line,Orange Line,OL SB,SB Wellington Station,place-welln,Station,OLSB-05,Active Restriction,2023-01-05,,18 mph,Vehicle,405.00000000000114,0.07670454545454566,0.003403041058320571,22.54,5.622675960602967e-4,136.42,Multi-Segment,Midpoint,48,,0,0,0,0,0,0
2023-02-22,504676,SB,Orange Line,Orange Line,OL SB,SB Wellington to Assembly,place-welln | place-astao,Between Stations,OLSB-06,Active Restriction,2023-01-05,,18 mph,Vehicle,48.00000000000182,0.009090909090909436,4.0332338468985964e-4,22.54,6.663912249603751e-5,136.42,Multi-Segment,End,48,,0,0,0,0,0,0
2023-02-22,504677,SB,Orange Line,Orange Line,OL SB,SB Wellington to Assembly,place-welln | place-astao,Between Stations,OLSB-06,Active Restriction,2023-01-05,,25 mph,Vehicle,551.9999999999982,0.1045454545454542,0.004638218923933195,22.54,7.663499087043997e-4,136.42,Single Segment,Start|End,48,,1,0,0,0,0,1
2023-02-22,504678,SB,Orange Line,Orange Line,OL SB,SB Wellington to Assembly,place-welln | place-astao,Between Stations,OLSB-06,Active Restriction,2023-01-05,,18 mph,Vehicle,129.00000000000205,0.024431818181818568,0.0010839315963539738,22.54,1.7909264170809684e-4,136.42,Multi-Segment,Start,48,,1,0,0,0,0,1
2023-02-22,504678,SB,Orange Line,Orange Line,OL SB,SB Assembly Station,place-astao,Station,OLSB-07,Active Restriction,2023-01-05,,18 mph,Vehicle,400.9999999999991,0.07594696969696953,0.003369430776263067,22.54,5.56714335852291e-4,136.42,Multi-Segment,Midpoint,48,,0,0,0,0,0,0
2023-02-22,488828,SB,Orange Line,Orange Line,OL SB,SB Assembly to Sullivan,place-astao | place-sull,Between Stations,OLSB-08,Active Restriction,2022-11-02,,25 mph,Track,400,0.07575757575757576,0.003361028205748703,22.54,5.553260208002915e-4,136.42,Single Segment,Start|End,112,,1,0,0,0,0,1
2023-02-22,495892,SB,Orange Line,Orange Line,OL SB,SB Assembly to Sullivan,place-astao | place-sull,Between Stations,OLSB-08,Active Restriction,2022-12-06,,10 mph,Track,300,0.056818181818181816,0.002520771154311527,22.54,4.164945156002186e-4,136.42,Single Segment,Start|End,78,,1,0,0,0,0,1
2023-02-22,504678,SB,Orange Line,Orange Line,OL SB,SB Assembly to Sullivan,place-astao | place-sull,Between Stations,OLSB-08,Active Restriction,2023-01-05,,18 mph,Vehicle,468.9999999999998,0.08882575757575753,0.003940805571240352,22.54,6.511197593883414e-4,136.42,Multi-Segment,End,48,,0,0,0,0,0,0
2023-02-22,504680,SB,Orange Line,Orange Line,OL SB,SB Assembly to Sullivan,place-astao | place-sull,Between Stations,OLSB-08,Active Restriction,2023-01-05,,18 mph,Vehicle,31.000000000000227,0.005871212121212164,2.604796859455264e-4,22.54,4.303776661202291e-5,136.42,Multi-Segment,Start,48,,1,0,0,0,0,1
2023-02-22,504680,SB,Orange Line,Orange Line,OL SB,SB Sullivan Station,place-sull,Station,OLSB-09,Active Restriction,2023-01-05,,18 mph,Vehicle,415.0000000000034,0.0785984848484855,0.003487066763464308,22.54,5.761507465803072e-4,136.42,Multi-Segment,Midpoint,48,,0,0,0,0,0,0
2023-02-22,504680,SB,Orange Line,Orange Line,OL SB,SB Sullivan to Comm. College,place-sull | place-ccmnl,Between Stations,OLSB-10,Active Restriction,2023-01-05,,18 mph,Vehicle,63.999999999998636,0.012121212121211863,5.37764512919781e-4,22.54,8.885216332804474e-5,136.42,Multi-Segment,End,48,,0,0,0,0,0,0
2023-02-22,491315,SB,Orange Line,Orange Line,OL SB,SB Comm. College to North Sta.,place-ccmnl | place-north,Between Stations,OLSB-12,Active Restriction,2022-11-17,,25 mph,Track,2539.9999999999977,0.48106060606060563,0.021342529106504245,22.54,0.003526320232081848,136.42,Single Segment,Start|End,97,,1,0,0,0,0,1
2023-02-22,504681,SB,Orange Line,Orange Line,OL SB,SB Comm. College to North Sta.,place-ccmnl | place-north,Between Stations,OLSB-12,Active Restriction,2023-01-05,,25 mph,Vehicle,1020.999999999998,0.19337121212121172,0.008579024495173546,22.54,0.001417469668092741,136.42,Single Segment,Start|End,48,,1,0,0,0,0,1
2023-02-22,504682,SB,Orange Line,Orange Line,OL SB,SB Comm. College to North Sta.,place-ccmnl | place-north,Between Stations,OLSB-12,Active Restriction,2023-01-05,,18 mph,Vehicle,46.00000000000364,0.008712121212121901,3.865182436611314e-4,22.54,6.386249239203858e-5,136.42,Multi-Segment,Start,48,,1,0,0,0,0,1
2023-02-22,504682,SB,Orange Line,Orange Line,OL SB,SB North Station,place-north,Station,OLSB-13,Active Restriction,2023-01-05,,18 mph,Vehicle,407.9999999999984,0.07727272727272697,0.0034282487698636633,22.54,5.66432541216295e-4,136.42,Multi-Segment,Midpoint,48,,0,0,0,0,0,0
2023-02-22,504682,SB,Orange Line,Orange Line,OL SB,SB North Sta. to Haymarket,place-north | place-haecl,Between Stations,OLSB-14,Active Restriction,2023-01-05,,18 mph,Vehicle,51.99999999999818,0.009848484848484504,4.369336667473161e-4,22.54,7.219238270403538e-5,136.42,Multi-Segment,End,48,,0,0,0,0,0,0
2023-02-22,504683,SB,Orange Line,Orange Line,OL SB,SB Haymarket Station,place-haecl,Station,OLSB-15,Active Restriction,2023-01-05,,18 mph,Vehicle,249.0000000000009,0.04715909090909108,0.002092240058078575,22.54,3.4569044794818273e-4,136.42,Multi-Segment,Start,48,,1,0,0,0,0,1
2023-02-22,504683,SB,Orange Line,Orange Line,OL SB,SB Haymarket to State St.,place-haecl | place-state,Between Stations,OLSB-16,Active Restriction,2023-01-05,,18 mph,Vehicle,162.00000000000045,0.03068181818181827,0.0013612164233282285,22.54,2.249070384241187e-4,136.42,Multi-Segment,End,48,,0,0,0,0,0,0
2023-02-22,481986,SB,Orange Line,Orange Line,OL SB,SB Chinatown to Tufts Med.,place-chncl | place-tumnl,Between Stations,OLSB-22,Active Restriction,2022-10-18,,25 mph,Track,300,0.056818181818181816,0.002520771154311527,22.54,4.164945156002186e-4,136.42,Single Segment,Start|End,127,,1,0,0,0,0,1
2023-02-22,504691,SB,Orange Line,Orange Line,OL SB,SB Chinatown to Tufts Med.,place-chncl | place-tumnl,Between Stations,OLSB-22,Active Restriction,2023-01-05,,18 mph,Vehicle,54.000000000002046,0.010227272727273114,4.53738807776092e-4,22.54,7.496901280804219e-5,136.42,Multi-Segment,Start,48,,1,0,0,0,0,1
2023-02-22,504691,SB,Orange Line,Orange Line,OL SB,SB Tufts Medical Station,place-tumnl,Station,OLSB-23,Active Restriction,2023-01-05,,18 mph,Vehicle,400.9999999999991,0.07594696969696953,0.003369430776263067,22.54,5.56714335852291e-4,136.42,Multi-Segment,Midpoint,48,,0,0,0,0,0,0
2023-02-22,471445,SB,Orange Line,Orange Line,OL SB,SB Tufts Med. to Back Bay,place-tumnl | place-bbsta,Between Stations,OLSB-24,Active Restriction,2022-09-23,,18 mph,Track,900,0.17045454545454544,0.007562313462934581,22.54,0.0012494835468006558,136.42,Single Segment,Start|End,152,,1,0,0,0,0,1
2023-02-22,486386,SB,Orange Line,Orange Line,OL SB,SB Tufts Med. to Back Bay,place-tumnl | place-bbsta,Between Stations,OLSB-24,Active Restriction,2022-10-27,,25 mph,Track,716.9999999999987,0.1357954545454543,0.006024643058804539,22.54,9.954218922845208e-4,136.42,Single Segment,Start|End,118,,1,0,0,0,0,1
2023-02-22,504691,SB,Orange Line,Orange Line,OL SB,SB Tufts Med. to Back Bay,place-tumnl | place-bbsta,Between Stations,OLSB-24,Active Restriction,2023-01-05,,18 mph,Vehicle,50,0.00946969696969697,4.201285257185879e-4,22.54,6.941575260003643e-5,136.42,Multi-Segment,End,48,,0,0,0,0,0,0
2023-02-22,518882,SB,Orange Line,Orange Line,OL SB,SB Jackson Sq. to Stony Brook,place-jaksn | place-sbmnl,Between Stations,OLSB-34,Active Restriction,2023-02-21,,10 mph,Track,500,0.0946969696969697,0.004201285257185878,22.54,6.941575260003644e-4,136.42,Single Segment,Start|End,1,,1,0,0,0,0,1
2023-02-22,477428,SB,Red Line,Red Line - Ashmont,RL JFK-Ashmont SB,SB Savin Hill to Fields Corner,place-shmnl | place-fldcr,Between Stations,RASB-05,Active Restriction,2022-10-04,,10 mph,Track,1643.399999999997,0.3112499999999994,0.006565070660198258,47.41,0.0022815569564579932,136.42,Single Segment,Start|End,141,,1,0,0,0,0,1
2023-02-22,489843,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Quincy Adams to Quincy Center,place-qamnl | place-qnctr,Between Stations,RBNB-04,Active Restriction,2022-11-07,,10 mph,Track,399.0000000000009,0.07556818181818199,0.0015939291672259438,47.41,5.539377057482921e-4,136.42,Multi-Segment,Start,107,,1,0,0,0,0,1
2023-02-22,489843,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Quincy Center Station,place-qnctr,Station,RBNB-05,Active Restriction,2022-11-07,,10 mph,Track,500.9999999999991,0.09488636363636346,0.0020013997814039963,47.41,6.955458410523638e-4,136.42,Multi-Segment,Midpoint,107,,0,0,0,0,0,0
2023-02-22,489843,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Quincy Center to Wollaston,place-qnctr | place-wlsta,Between Stations,RBNB-06,Active Restriction,2022-11-07,,10 mph,Track,400,0.07575757575757576,0.0015979239771688623,47.41,5.553260208002915e-4,136.42,Multi-Segment,End,107,,0,0,0,0,0,0
2023-02-22,518179,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Quincy Center to Wollaston,place-qnctr | place-wlsta,Between Stations,RBNB-06,Active Restriction,2023-02-17,,10 mph,Track,700,0.13257575757575757,0.002796366960045509,47.41,9.7182053640051e-4,136.42,Single Segment,Start|End,5,,1,0,0,0,0,1
2023-02-22,518180,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Quincy Center to Wollaston,place-qnctr | place-wlsta,Between Stations,RBNB-06,Active Restriction,2023-02-17,,10 mph,Track,1600,0.30303030303030304,0.006391695908675449,47.41,0.002221304083201166,136.42,Single Segment,Start|End,5,,1,0,0,0,0,1
2023-02-22,518182,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Quincy Center to Wollaston,place-qnctr | place-wlsta,Between Stations,RBNB-06,Active Restriction,2023-02-17,,10 mph,Track,600,0.11363636363636363,0.0023968859657532934,47.41,8.329890312004372e-4,136.42,Single Segment,Start|End,5,,1,0,0,0,0,1
2023-02-22,518456,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Wollaston to North Quincy,place-wlsta | place-nqncy,Between Stations,RBNB-08,Active Restriction,2023-02-19,,10 mph,Track,600,0.11363636363636363,0.0023968859657532934,47.41,8.329890312004372e-4,136.42,Single Segment,Start|End,3,,1,0,0,0,0,1
2023-02-22,518457,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Wollaston to North Quincy,place-wlsta | place-nqncy,Between Stations,RBNB-08,Restriction Cleared,2023-02-19,2023-02-22,25 mph,Track,600,0.11363636363636363,0.0023968859657532934,47.41,8.329890312004372e-4,136.42,Single Segment,Start|End,3,3,1,0,0,-1,0,0
2023-02-22,518515,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Wollaston to North Quincy,place-wlsta | place-nqncy,Between Stations,RBNB-08,Active Restriction,2023-02-20,,10 mph,Track,665.9999999999968,0.12613636363636305,0.0026605434219861435,47.41,9.24617824632481e-4,136.42,Multi-Segment,Start,2,,1,0,0,0,0,1
2023-02-22,518515,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB North Quincy Station,place-nqncy,Station,RBNB-09,Active Restriction,2023-02-20,,10 mph,Track,34.00000000000318,0.006439393939394542,1.35823538059366e-4,47.41,4.720271176802919e-5,136.42,Multi-Segment,End,2,,0,0,0,0,0,0
2023-02-22,423051,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Between Stations,RBNB-10,Active Restriction,2022-05-18,,25 mph,Track,200,0.03787878787878788,7.989619885844312e-4,47.41,2.7766301040014574e-4,136.42,Single Segment,Start|End,280,,1,0,0,0,0,1
2023-02-22,505837,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Between Stations,RBNB-10,Active Restriction,2023-01-10,,25 mph,Track,600,0.11363636363636363,0.0023968859657532934,47.41,8.329890312004372e-4,136.42,Single Segment,Start|End,43,,1,0,0,0,0,1
2023-02-22,511489,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Between Stations,RBNB-10,Active Restriction,2023-01-26,,10 mph,Track,600,0.11363636363636363,0.0023968859657532934,47.41,8.329890312004372e-4,136.42,Single Segment,Start|End,27,,1,0,0,0,0,1
2023-02-22,518459,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Between Stations,RBNB-10,Active Restriction,2023-02-19,,10 mph,Track,600,0.11363636363636363,0.0023968859657532934,47.41,8.329890312004372e-4,136.42,Single Segment,Start|End,3,,1,0,0,0,0,1
2023-02-22,518460,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Between Stations,RBNB-10,Active Restriction,2023-02-19,,10 mph,Track,1100,0.20833333333333334,0.0043942909372143716,47.41,0.0015271465572008016,136.42,Single Segment,Start|End,3,,1,0,0,0,0,1
2023-02-22,518713,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Between Stations,RBNB-10,Active Restriction,2023-02-21,,25 mph,Track,300,0.056818181818181816,0.0011984429828766467,47.41,4.164945156002186e-4,136.42,Single Segment,Start|End,1,,1,0,0,0,0,1
